timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered,packet_id,stored_time,ttl,reason
1743017182.3819969,sta1,sta2,4.40471625328064,True,True,1.0,3.7,311.0,72.0,20180.0,,,,
1743017182.4690466,sta2,sta3,12.824070453643799,True,True,2.0,1.2,295.0,20.0,5950.0,,,,
1743017182.470886,sta2,sta3,12.82568883895874,True,True,2.0,1.3,294.0,21.0,6244.0,,,,
1743017182.471835,sta2,sta3,12.826456546783447,True,True,2.0,1.4,295.0,22.0,6539.0,,,,
1743017182.480525,sta2,sta3,12.834729194641113,True,True,2.0,1.5,295.0,23.0,6834.0,,,,
1743017182.523325,sta3,sta4,16.746535778045654,True,True,2.0,1.7,294.0,17.0,5090.0,,,,
1743017182.5262609,sta3,sta4,16.74764847755432,True,True,2.0,1.8,295.0,18.0,5385.0,,,,
1743017182.5330977,sta3,sta4,16.75281047821045,True,True,2.0,1.9,295.0,19.0,5680.0,,,,
1743017182.5342028,sta3,sta4,16.75337314605713,True,True,2.0,2.0,295.0,20.0,5975.0,,,,
1743017182.5580823,sta2,sta1,3.4676403999328613,True,True,2.0,2.3,310.0,35.0,10222.0,,,,
1743017183.178896,sta5,sta4,11.093834161758423,True,True,2.0,1.7,311.0,21.0,6286.0,,,,
1743017183.2138062,sta2,sta5,9.32800006866455,True,True,2.0,0.9,311.0,14.0,4218.0,,,,
1743017183.2180176,sta3,sta5,8.253059387207031,True,True,2.0,1.0,311.0,15.0,4529.0,,,,
1743017183.2211812,sta2,sta5,4.26028847694397,True,True,1.0,1.1,311.0,16.0,4840.0,,,,
1743017184.1958525,sta3,sta1,16.66076374053955,True,True,1.0,1.5,295.0,36.0,10517.0,,,,
1743017184.3387904,sta4,sta5,17.396844387054443,True,True,1.0,1.1,294.0,17.0,5134.0,,,,
1743017185.360536,sta4,sta1,9.261244058609009,True,True,3.0,1.8,311.0,42.0,12227.0,,,,
1743017185.370366,sta2,sta4,14.539605140686035,True,True,3.0,1.2,295.0,22.0,6581.0,,,,
1743017185.4214559,sta2,sta5,13.41487741470337,True,True,2.0,1.2,294.0,18.0,5428.0,,,,
1743017185.4216604,sta2,sta5,13.409310579299927,True,True,2.0,1.3,295.0,19.0,5723.0,,,,
1743017185.422041,sta2,sta5,13.409029960632324,True,True,2.0,1.4,294.0,20.0,6017.0,,,,
1743017185.4222922,sta3,sta5,10.519659042358398,True,True,2.0,1.5,310.0,21.0,6327.0,,,,
1743017186.571805,sta5,sta2,4.088139057159424,True,True,1.0,3.8,312.0,88.0,24678.0,,,,
1743017186.725525,sta2,sta3,7.617895126342773,True,True,2.0,0.7,311.0,24.0,7145.0,,,,
1743017186.744029,sta1,sta3,14.04672908782959,True,True,3.0,0.8,311.0,25.0,7456.0,,,,
1743017186.756089,sta2,sta1,2.470735788345337,True,True,1.0,1.9,312.0,43.0,12539.0,,,,
1743017186.8047845,sta4,sta5,19.863052368164062,True,True,2.0,1.6,295.0,22.0,6622.0,,,,
1743017186.812949,sta4,sta5,19.871243238449097,True,True,2.0,1.7,295.0,23.0,6917.0,,,,
1743017187.73592,sta5,sta3,23.101832389831543,True,True,4.0,0.8,295.0,26.0,7751.0,,,,
1743017187.7371602,sta5,sta3,10.394027948379517,True,True,2.0,0.9,311.0,27.0,8062.0,,,,
1743017187.8109646,sta3,sta4,2.4343180656433105,True,True,1.0,1.3,311.0,23.0,6892.0,,,,
1743017187.8364785,sta3,sta1,2.4802465438842773,True,True,2.0,2.0,311.0,44.0,12850.0,,,,
1743017187.8381157,sta5,sta1,25.408496618270874,True,True,8.0,2.1,294.0,45.0,13144.0,,,,
1743017187.8389015,sta5,sta1,5.3896191120147705,True,True,3.0,2.2,312.0,46.0,13456.0,,,,
1743017188.3293703,sta2,sta3,13.495852708816528,True,True,1.0,1.0,295.0,28.0,8357.0,,,,
1743017188.3317742,sta2,sta3,13.497437953948975,True,True,1.0,1.1,295.0,29.0,8652.0,,,,
1743017188.332654,sta2,sta3,13.497855424880981,True,True,1.0,1.2,295.0,30.0,8947.0,,,,
1743017188.332785,sta2,sta3,13.49770712852478,True,True,1.0,1.3,295.0,31.0,9242.0,,,,
1743017188.335887,sta2,sta3,13.496622562408447,True,True,1.0,1.4,295.0,32.0,9537.0,,,,
1743017188.3896601,sta2,sta4,12.40003514289856,True,True,1.0,1.3,294.0,24.0,7186.0,,,,
1743017188.3980103,sta2,sta4,12.407200813293457,True,True,1.0,1.4,295.0,25.0,7481.0,,,,
1743017188.4000583,sta2,sta4,12.407144546508789,True,True,1.0,1.5,295.0,26.0,7776.0,,,,
1743017188.4040115,sta2,sta4,12.407807350158691,True,True,1.0,1.6,295.0,27.0,8071.0,,,,
1743017188.405335,sta2,sta4,12.407115697860718,True,True,1.0,1.7,295.0,28.0,8366.0,,,,
