timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered
1743682822.8651109,sta4,sta5,0.0013403892517089844,True,True,1,0.8,247,12,2959
1743682822.8767345,sta4,sta3,0.027131319046020508,True,True,1,0.8,247,11,2716
1743682823.1678214,sta5,sta1,0.0002541542053222656,True,True,1,0.8,246,12,2959
1743682823.1683395,sta5,sta2,0.00014853477478027344,True,True,1,0.8,247,12,2963
1743682823.1686537,sta5,sta3,0.00016045570373535156,True,True,1,0.8,246,12,2962
1743682823.169223,sta5,sta4,0.00037860870361328125,True,True,1,0.8,246,12,2960
1743682826.6132455,sta1,sta2,0.00024580955505371094,True,True,1,0.8,247,13,3210
1743682826.6137257,sta1,sta3,0.00034880638122558594,True,True,1,0.8,247,13,3209
1743682826.6144533,sta1,sta4,0.0006010532379150391,True,True,1,0.8,248,13,3208
1743682826.6149158,sta1,sta5,0.00030875205993652344,True,True,1,0.8,246,13,3205
1743682827.0092113,sta2,sta1,0.0022203922271728516,True,True,1,0.8,247,13,3206
1743682827.011499,sta2,sta3,0.0015397071838378906,True,True,1,0.8,248,14,3457
1743682827.0117824,sta2,sta4,0.001361846923828125,True,True,1,0.8,248,14,3456
1743682827.0132537,sta2,sta5,0.0013239383697509766,True,True,1,0.8,248,14,3453
1743682827.459259,sta3,sta1,0.0005476474761962891,True,True,1,0.8,248,14,3454
1743682827.4785664,sta3,sta2,0.004831075668334961,True,True,1,0.8,248,14,3458
1743682827.4880044,sta3,sta4,0.0014302730560302734,True,True,1,0.8,248,15,3704
1743682827.5097113,sta3,sta5,0.012962818145751953,True,True,1,0.8,248,15,3701
1743682827.8805609,sta4,sta1,0.0007245540618896484,True,True,1,0.8,248,15,3702
1743682827.881324,sta4,sta2,0.00019788742065429688,True,True,1,0.8,248,15,3706
1743682827.8847997,sta4,sta3,0.0007300376892089844,True,True,1,0.8,248,15,3705
1743682827.885764,sta4,sta5,0.00017189979553222656,True,True,1,0.8,248,16,3949
1743682828.174355,sta5,sta1,0.00044274330139160156,True,True,1,0.8,248,16,3950
1743682828.1746938,sta5,sta2,0.0004673004150390625,True,True,1,0.8,248,16,3954
1743682828.179271,sta5,sta3,0.001999378204345703,True,True,1,0.8,247,16,3952
1743682828.1826205,sta5,sta4,0.0014493465423583984,True,True,1,0.8,247,16,3951
1743682831.623177,sta1,sta2,0.004052162170410156,True,True,1,0.8,247,17,4201
1743682831.626189,sta1,sta3,0.0011363029479980469,True,True,1,0.8,248,17,4200
1743682831.6286597,sta1,sta4,0.0009124279022216797,True,True,1,0.8,248,17,4199
1743682831.6335168,sta1,sta5,0.0029053688049316406,True,True,1,0.8,248,17,4197
1743682832.017742,sta2,sta1,0.0003483295440673828,True,True,1,0.8,247,17,4197
1743682832.020762,sta2,sta3,0.0009765625,True,True,1,0.8,248,18,4448
1743682832.0211508,sta2,sta4,0.0005819797515869141,True,True,1,0.8,248,18,4447
1743682832.0220096,sta2,sta5,0.0002810955047607422,True,True,1,0.8,248,18,4445
1743682832.5190144,sta3,sta1,0.004304647445678711,True,True,1,0.8,247,18,4444
1743682832.5194018,sta3,sta2,0.0005605220794677734,True,True,1,0.8,247,18,4448
1743682832.52416,sta3,sta4,0.0013995170593261719,True,True,1,0.8,248,19,4695
1743682832.526838,sta3,sta5,0.00046133995056152344,True,True,1,0.8,248,19,4693
1743682832.89851,sta4,sta1,0.0010724067687988281,True,True,1,0.8,248,19,4692
1743682832.9005783,sta4,sta2,0.0018761157989501953,True,True,1,0.8,248,19,4696
1743682832.9007895,sta4,sta3,0.0005908012390136719,True,True,1,0.8,246,19,4694
1743682832.9018571,sta4,sta5,0.00015115737915039062,True,True,1,0.8,248,20,4941
1743682833.187594,sta5,sta1,0.0004961490631103516,True,True,1,0.8,248,20,4940
1743682833.1881595,sta5,sta2,0.0001430511474609375,True,True,1,0.8,248,20,4944
1743682833.1907165,sta5,sta3,0.0005106925964355469,True,True,1,0.8,248,20,4942
1743682833.193053,sta5,sta4,0.0005075931549072266,True,True,1,0.8,248,20,4943
1743682836.6515896,sta1,sta2,0.003987550735473633,True,True,1,0.8,248,21,5192
1743682836.6535435,sta1,sta3,0.0011057853698730469,True,True,1,0.8,248,21,5190
1743682836.6566908,sta1,sta4,0.0015196800231933594,True,True,1,0.8,248,21,5191
